period,type1_attendances,type2_attendances,type3_attendances,total_attendances,emerg_admissions_type1,emerg_admissions_type2,emerg_admissions_type3,total_emerg_admissions_ae,other_emerg_admissions,total_emerg_admissions,dtoa_over_4hr,dtoa_over_12hr,total_seen_4hr,type1_seen_4hr,type2_seen_4hr,type3_seen_4hr,total_breach_4hr,pct_4hr_all,pct_4hr_type1,pct_4hr_type2,pct_4hr_type3
2021-03-01,1161079.0,35656.0,494547.0,1691282.0,375926.0,1391.0,5605.0,382922.0,121004.0,503926.0,50972.0,688.0,1294748.0,203015.0,559.0,4755.0,208329.0,0.8613983182498302,0.8006659034273113,0.9806359983372592,0.9895664881303717
2021-04-01,1259266.0,35363.0,571603.0,1866232.0,385748.0,1261.0,5267.0,392276.0,117986.0,510262.0,48719.0,526.0,1415993.0,234255.0,461.0,8205.0,242921.0,0.8535662487627448,0.787619934378907,0.9839294429338353,0.9844375024894306
2021-05-01,1396116.0,38747.0,640679.0,2075542.0,411470.0,1403.0,5593.0,418466.0,125499.0,543965.0,57308.0,695.0,1544587.0,289681.0,474.0,10753.0,300908.0,0.8369499781901333,0.7631459744439247,0.9850694553816108,0.9817965438318503
2021-06-01,1436111.0,39162.0,681859.0,2157132.0,401052.0,1444.0,5423.0,407919.0,127483.0,535402.0,66621.0,1289.0,1559797.0,337587.0,603.0,20648.0,358838.0,0.8129722432875456,0.7315810690577226,0.9809647073678894,0.967187375848205
2021-07-01,1430733.0,39313.0,690082.0,2160128.0,402085.0,1323.0,7160.0,410568.0,122144.0,532712.0,89762.0,2208.0,1493118.0,405163.0,853.0,21987.0,428003.0,0.7772118466249653,0.6764163269739448,0.9735241169532559,0.9654721878921028
2021-08-01,1341757.0,39864.0,654346.0,2035967.0,381911.0,1325.0,5555.0,388791.0,115095.0,503886.0,96008.0,2787.0,1394938.0,397235.0,796.0,18246.0,416277.0,0.7701669873537929,0.6617316078510184,0.9757391039317281,0.9697956913419612
2021-09-01,1392405.0,40503.0,694296.0,2127204.0,379118.0,1296.0,5309.0,385723.0,121363.0,507086.0,104873.0,5024.0,1421153.0,438530.0,912.0,28768.0,468210.0,0.7521863188810197,0.6396885676114917,0.9725201880197661,0.954985925278013
2021-10-01,1419010.0,39701.0,706091.0,2164802.0,389169.0,1176.0,5363.0,395708.0,121475.0,517183.0,121250.0,7058.0,1422881.0,472548.0,850.0,28244.0,501642.0,0.7393421642661584,0.6193521830854877,0.9739439641959414,0.9565790889664396
2021-11-01,1336830.0,39025.0,662100.0,2037955.0,374964.0,1246.0,5298.0,381508.0,124734.0,506242.0,120744.0,10646.0,1344752.0,445743.0,872.0,24365.0,470980.0,0.7406114999350124,0.6190077721070847,0.9728264256777812,0.9602974796680404
2021-12-01,1250568.0,34913.0,589161.0,1874642.0,370950.0,1881.0,7133.0,379964.0,119091.0,499055.0,120131.0,12859.0,1225087.0,423880.0,809.0,18558.0,443247.0,0.7343175886842802,0.6122625579255296,0.9719097222222223,0.9660308976424073
2022-01-01,1247417.0,36557.0,591228.0,1875202.0,358968.0,1204.0,5320.0,365492.0,119460.0,484952.0,122433.0,16564.0,1239427.0,410646.0,933.0,16025.0,427604.0,0.7434936722832389,0.6230288342375588,0.9690413777084647,0.9707340146539948
2022-02-01,1205820.0,37970.0,581573.0,1825363.0,334835.0,1087.0,5275.0,341197.0,118755.0,459952.0,114908.0,16402.0,1189675.0,412179.0,1128.0,20480.0,433787.0,0.732801260516107,0.6087066726411082,0.963946687122447,0.9619895359865182
